,constituency,2009,2010,2011,2012,2013
46,E14000576,171750,190750,185000,189975,195000
47,E14000577,105000,101995,99000,102000,100000
48,E14000578,110000,110000,107000,100000,110000
49,E14000579,90000,88000,80500,81500,82000
50,E14000580,122500,125000,123000,125000,125000
51,E14000581,110000,105000,106000,115000,105000
52,E14000582,120000,124950,124000,124950,125000
53,E14000583,149950,150000,147250,142500,150000
54,E14000584,175750,200000,196500,199950,202000
55,E14000585,174000,193750,186945,190000,190000
56,E14000586,206000,233750,225000,238000,245000
57,E14000587,95000,95000,89500,87750,90000
58,E14000588,95500,103000,97500,95000,100000
59,E14000589,104975,104975,100000,100000,104250
60,E14000590,170000,185000,186000,188061,193000
61,E14000591,250000,257000,275000,305000,320000
62,E14000592,272000,268000,285000,288000,290000
63,E14000593,274000,285000,310000,330000,350735
64,E14000594,250000,275000,265000,275000,281500
65,E14000595,162000,167500,162500,163725,165000
66,E14000596,125000,124000,120000,124950,124950
67,E14000597,195000,225000,224000,225000,235000
68,E14000598,215000,247000,245000,249500,250000
69,E14000599,140000,150000,146000,148000,153500
70,E14000600,169500,193000,184000,187000,195000
71,E14000601,155000,167000,161995,165000,170000
72,E14000602,180000,210000,204000,215000,210000
73,E14000603,165000,183000,177000,177000,185000
74,E14000604,245500,268000,270000,272000,282000
75,E14000605,184250,202500,200000,205000,205000
76,E14000606,210000,225000,225000,237500,240000
77,E14000607,135000,135275,135000,136500,140000
78,E14000608,240000,272000,265000,250000,270000
79,E14000609,75000,72500,75000,77375,72995
80,E14000610,130000,133000,125500,130000,135000
81,E14000611,130000,125000,118000,120000,121000
82,E14000612,130000,127000,123625,125000,125000
83,E14000613,165000,179995,176000,175000,182000
84,E14000614,130000,140000,130000,130000,130000
85,E14000615,245000,250000,272750,290000,305000
86,E14000616,160000,165000,163000,160000,160000
87,E14000617,230500,250000,250000,270000,303000
88,E14000618,124975,125000,123500,125000,125000
89,E14000619,180000,218000,210000,215125,222000
90,E14000620,115950,115000,115995,115000,115250
91,E14000621,200000,230000,215000,235000,246000
92,E14000622,180000,195000,190000,190000,200000
93,E14000623,190000,213000,210000,205000,214995
94,E14000624,173000,195000,190000,190000,191000
95,E14000625,152375,162000,164950,165000,167000
96,E14000626,145000,154000,150000,150000,158500
97,E14000627,185000,201750,200000,200000,200000
98,E14000628,192500,210000,209950,210000,215250
99,E14000629,610000,633250,650000,700000,795000
100,E14000630,175000,205000,193000,201550,205000
101,E14000631,345000,361500,358000,369950,377250
102,E14000632,120000,124950,120000,120000,125000
103,E14000633,235500,259995,256500,265250,270000
104,E14000634,245000,262000,266750,265000,300000
105,E14000635,175000,190000,188250,188000,196500
106,E14000636,290000,316000,325625,350000,369950
107,E14000637,139995,148450,142000,147000,145000
108,E14000638,240000,260000,250000,260000,260000
109,E14000639,540000,625000,635000,698000,794000
110,E14000640,161000,172000,160000,172000,176000
111,E14000641,127000,130000,121995,124950,122000
112,E14000642,143000,150000,147000,149997,150000
113,E14000643,130000,125000,123000,124999,125000
114,E14000644,145000,155000,160500,167000,170498
115,E14000645,132000,132995,130000,128000,134500
116,E14000646,153500,160000,161500,158200,160000
117,E14000647,125950,130000,122000,122500,122497
118,E14000648,136497,140000,136000,137750,148747
119,E14000649,105000,107725,114747,111000,118000
120,E14000650,122000,125000,120625,125000,129250
121,E14000651,130000,136400,136000,130000,140000
122,E14000652,172000,185000,181000,187000,205000
123,E14000653,135000,135000,129950,125000,136000
124,E14000654,195000,215000,210000,215000,225000
125,E14000655,175000,197000,192000,202750,222000
